Date,Open,High,Low,Close,Adj Close,Volume
2020-08-19,22.950001,23.320000,22.750000,22.889999,22.144703,51982100
2020-08-20,22.520000,22.870001,22.350000,22.730000,21.989912,55251700
2020-08-21,22.540001,22.629999,22.350000,22.559999,21.825447,38668300
2020-08-24,22.860001,23.129999,22.799999,22.969999,22.222097,51841900
2020-08-25,23.090000,23.150000,22.690001,22.870001,22.125355,37981400
2020-08-26,22.780001,22.900000,22.040001,22.219999,21.496517,69925300
2020-08-27,22.320000,22.469999,22.040001,22.150000,21.428797,35489800
2020-08-28,22.250000,22.540001,22.059999,22.540001,21.806101,31071000
2020-08-31,22.320000,22.430000,21.889999,21.889999,21.177263,48539700
2020-09-01,22.200001,22.889999,22.120001,22.870001,22.125355,66299700
2020-09-02,22.930000,23.100000,22.520000,22.799999,22.057632,53618000
2020-09-03,22.610001,23.120001,22.570000,22.879999,22.135029,87642400
2020-09-04,23.000000,23.030001,22.580000,22.920000,22.173727,52351100
2020-09-08,22.500000,22.500000,21.910000,22.260000,21.535215,74490200
2020-09-09,22.490000,22.770000,22.490000,22.730000,21.989912,42143500
2020-09-10,22.580000,22.580000,22.110001,22.120001,21.399775,58350000
2020-09-11,22.120001,22.260000,21.750000,21.879999,21.167587,71013700
2020-09-14,21.940001,21.980000,21.430000,21.680000,20.974100,46453300
2020-09-15,21.980000,22.080000,21.549999,21.670000,20.964426,58546700
2020-09-16,21.850000,21.990000,21.600000,21.730000,21.022472,50379500
2020-09-17,21.510000,22.170000,21.459999,22.150000,21.428797,60432200
2020-09-18,21.990000,22.150000,21.549999,21.650000,20.945078,64243500
2020-09-21,21.290001,21.459999,20.809999,20.900000,20.219498,73300000
2020-09-22,20.959999,21.350000,20.750000,20.799999,20.122753,47207700
2020-09-23,20.799999,20.959999,20.200001,20.230000,19.571312,57106300
2020-09-24,20.240000,20.709999,20.059999,20.400000,19.735777,76310000
2020-09-25,20.150000,20.260000,19.870001,20.129999,19.474567,40150400
2020-09-28,20.330000,20.559999,19.629999,19.629999,18.990849,48797400
2020-09-29,19.629999,19.860001,19.250000,19.309999,18.681267,52878100
2020-09-30,19.500000,20.040001,19.430000,19.610001,18.971500,69505000
2020-10-01,19.639999,20.059999,19.129999,19.850000,19.203686,77537300
2020-10-02,19.730000,19.740000,19.020000,19.020000,18.400711,85306000
2020-10-05,19.360001,20.160000,19.240000,20.030001,19.377825,73288500
2020-10-06,20.469999,20.700001,19.930000,19.930000,19.281080,77064600
2020-10-07,20.000000,20.049999,19.559999,19.790001,19.145639,53521000
2020-10-08,20.040001,20.590000,19.860001,20.440001,19.774475,78070400
2020-10-09,20.340000,20.389999,19.799999,19.799999,19.155313,67962300
2020-10-13,19.910000,20.129999,19.730000,20.129999,19.474567,55330600
2020-10-14,20.090000,20.370001,19.969999,19.969999,19.319778,44584300
2020-10-15,19.620001,19.770000,19.440001,19.750000,19.106941,56952100
2020-10-16,19.670000,19.709999,19.320000,19.330000,18.700617,49929000
2020-10-19,19.410000,19.940001,19.250000,19.520000,18.884430,107419300
2020-10-20,19.670000,20.270000,19.590000,20.180000,19.522942,68407700
2020-10-21,20.160000,20.330000,19.830000,20.160000,19.503592,60594900
2020-10-22,20.100000,20.840000,20.049999,20.840000,20.161451,98926900
2020-10-23,20.940001,21.139999,20.540001,20.570000,19.900242,61711200
2020-10-26,20.330000,20.530001,20.030001,20.250000,19.590662,58229100
2020-10-27,20.260000,20.370001,19.809999,19.879999,19.232708,48978400
2020-10-28,19.350000,19.440001,18.670000,18.670000,18.062107,79247400
2020-10-29,18.430000,19.370001,17.740000,19.290001,18.661921,86794800
2020-10-30,19.139999,19.540001,18.870001,18.940001,18.323315,64185100
2020-11-03,19.510000,19.900000,19.330000,19.650000,19.010197,66292400
2020-11-04,20.010000,20.070000,19.270000,19.719999,19.077917,65777600
2020-11-05,19.950001,19.990000,19.719999,19.889999,19.242382,40874800
2020-11-06,19.549999,19.950001,19.540001,19.750000,19.106941,37273300
2020-11-09,21.110001,22.690001,21.040001,21.610001,20.906380,164904100
2020-11-10,21.889999,23.150000,21.809999,23.080000,22.328516,163732600
2020-11-11,23.350000,23.360001,22.400000,22.879999,22.135029,93072900
2020-11-12,22.740000,22.820000,21.770000,21.910000,21.196611,77275000
2020-11-13,22.020000,22.799999,21.889999,22.629999,21.893167,66065200
2020-11-16,23.200001,23.629999,23.129999,23.290001,22.531679,101583300
2020-11-17,23.049999,24.139999,22.980000,23.690001,22.918655,94082100
2020-11-18,23.990000,24.129999,23.549999,23.549999,22.783213,68540400
2020-11-19,23.549999,23.940001,23.370001,23.820000,23.044422,65382100
2020-11-23,24.049999,25.100000,24.040001,25.100000,24.282745,125649000
2020-11-24,25.639999,26.670000,25.639999,26.219999,25.366278,153293500
2020-11-25,26.200001,26.500000,25.670000,26.250000,25.395302,73971200
2020-11-26,25.940001,25.950001,25.559999,25.820000,24.979301,41935900
2020-11-27,25.920000,26.059999,25.450001,25.500000,24.669722,49863500
2020-11-30,25.260000,25.879999,24.840000,24.900000,24.089258,90207700
2020-12-01,25.400000,25.770000,25.290001,25.600000,24.766466,58866000
2020-12-02,25.600000,26.500000,25.330000,25.910000,25.066372,88093300
2020-12-03,26.150000,26.889999,26.049999,26.639999,25.772602,62424500
2020-12-04,27.190001,27.570000,27.059999,27.530001,26.633625,61652400
2020-12-07,27.270000,27.790001,26.670000,27.000000,26.120882,72664200
2020-12-08,26.809999,27.139999,26.459999,26.660000,25.791952,46276700
2020-12-09,26.629999,26.969999,26.400000,26.940001,26.062836,52448300
2020-12-10,27.190001,28.200001,27.129999,27.820000,26.914183,97537100
2020-12-11,27.490000,27.840000,27.280001,27.570000,26.672323,48334300
2020-12-14,28.030001,28.270000,27.620001,27.620001,26.720695,53159500
